layer,feature_id,active_count,active_fraction,total_activation,mean_activation_when_active,max_activation,sae_folder
18,4434,46,0.010497489730716568,13983.629425048828,303.9919440228006,373.96807861328125,resid_post_all/layer_18_width_16k_l0_small
18,6948,46,0.010497489730716568,13303.761825561523,289.21221359916353,374.86602783203125,resid_post_all/layer_18_width_16k_l0_small
18,5431,45,0.010269283432222729,8372.42642211914,186.05392049153645,225.0228271484375,resid_post_all/layer_18_width_16k_l0_small
18,13100,44,0.010041077133728891,18456.808654785156,419.47292397238994,652.2658081054688,resid_post_all/layer_18_width_16k_l0_small
18,1008,44,0.010041077133728891,15565.80859375,353.7683771306818,633.8712768554688,resid_post_all/layer_18_width_16k_l0_small
18,7212,44,0.010041077133728891,13458.509140014648,305.87520772760564,462.31988525390625,resid_post_all/layer_18_width_16k_l0_small
18,12410,44,0.010041077133728891,12648.228271484375,287.4597334428267,377.5352783203125,resid_post_all/layer_18_width_16k_l0_small
18,5989,44,0.010041077133728891,8419.427871704102,191.35063344782048,288.36761474609375,resid_post_all/layer_18_width_16k_l0_small
18,11597,44,0.010041077133728891,6768.205276489258,153.82284719293767,175.1475372314453,resid_post_all/layer_18_width_16k_l0_small
18,289,43,0.009812870835235053,96467.23388671875,2243.4240438771803,4120.666015625,resid_post_all/layer_18_width_16k_l0_small
18,513,43,0.009812870835235053,35202.034912109375,818.651974700218,2357.485595703125,resid_post_all/layer_18_width_16k_l0_small
18,308,43,0.009812870835235053,26269.848388671875,610.9267067132994,1281.759521484375,resid_post_all/layer_18_width_16k_l0_small
18,576,42,0.009584664536741214,29899.74267578125,711.8986351376489,1615.92138671875,resid_post_all/layer_18_width_16k_l0_small
18,1695,42,0.009584664536741214,19285.316162109375,459.1741943359375,747.867431640625,resid_post_all/layer_18_width_16k_l0_small
18,1639,42,0.009584664536741214,17967.676879882812,427.8018304734003,579.0352783203125,resid_post_all/layer_18_width_16k_l0_small
18,14143,42,0.009584664536741214,17856.57586669922,425.1565682547433,636.548583984375,resid_post_all/layer_18_width_16k_l0_small
18,3638,42,0.009584664536741214,14693.347381591797,349.8416043236142,672.30419921875,resid_post_all/layer_18_width_16k_l0_small
18,3931,42,0.009584664536741214,13945.489196777344,332.0354570661272,447.19500732421875,resid_post_all/layer_18_width_16k_l0_small
18,4015,42,0.009584664536741214,13607.648376464844,323.9916280110677,494.84136962890625,resid_post_all/layer_18_width_16k_l0_small
18,1018,42,0.009584664536741214,10802.251586914062,257.19646635509673,375.606201171875,resid_post_all/layer_18_width_16k_l0_small
18,5162,41,0.009356458238247376,13353.30029296875,325.6902510480183,520.8106079101562,resid_post_all/layer_18_width_16k_l0_small
18,6614,41,0.009356458238247376,12809.288604736328,312.4216732862519,372.8851623535156,resid_post_all/layer_18_width_16k_l0_small
18,15686,41,0.009356458238247376,12556.349853515625,306.2524354516006,473.41058349609375,resid_post_all/layer_18_width_16k_l0_small
18,8097,41,0.009356458238247376,12111.431427001953,295.40076651224274,367.7998046875,resid_post_all/layer_18_width_16k_l0_small
18,4677,41,0.009356458238247376,12108.098205566406,295.31946842844894,402.15313720703125,resid_post_all/layer_18_width_16k_l0_small
18,2241,41,0.009356458238247376,11777.976043701172,287.2677083829554,419.4842224121094,resid_post_all/layer_18_width_16k_l0_small
18,12029,41,0.009356458238247376,11130.81997680664,271.48341406845464,423.3845520019531,resid_post_all/layer_18_width_16k_l0_small
18,1691,41,0.009356458238247376,9340.29020690918,227.81195626607754,364.3094787597656,resid_post_all/layer_18_width_16k_l0_small
18,9342,40,0.009128251939753538,19361.960906982422,484.04902267456055,661.185791015625,resid_post_all/layer_18_width_16k_l0_small
18,1597,40,0.009128251939753538,16009.758605957031,400.2439651489258,739.255859375,resid_post_all/layer_18_width_16k_l0_small
18,4337,40,0.009128251939753538,13177.618072509766,329.44045181274413,525.0540771484375,resid_post_all/layer_18_width_16k_l0_small
18,13885,40,0.009128251939753538,12209.944763183594,305.24861907958984,417.00189208984375,resid_post_all/layer_18_width_16k_l0_small
18,8654,39,0.008900045641259699,14592.353515625,374.16291065705127,467.9646911621094,resid_post_all/layer_18_width_16k_l0_small
18,6990,39,0.008900045641259699,13013.268157958984,333.67354251176886,532.6162109375,resid_post_all/layer_18_width_16k_l0_small
